    Send    	    发送    
Extensions let you customize Burp's behavior using your own or third-party code.	您可以通过自己或第三方代码自定义Burp的功能。
Extensions settings	扩展设置
Extensions:	扩展
External / out-of-band interaction	带外交互漏洞
External service interaction \(DNS\)(\s+\[[0-9]+\])?	外部服务交互漏洞(DNS)$1
External service interaction \(HTTP\)(\s+\[[0-9]+\])?	外部服务交互漏洞(HTTP)$1
External service interaction \(SMTP\)(\s+\[[0-9]+\])?	外部服务交互漏洞(SMTP)$1
Extract from regex group	从正则表达式组中提取
Extract the following items from responses:	从响应中提取以下项目:
Extracted value is URL-encoded	提取的值被URL编码
Failed domain name resolution:	域名解析失败:
Failed parameters	失败参数
Failed to access file	无法访问文件
Failed to check for updates. Please log in to your account at https://portswigger.net to check for updates.	无法检查更新。在你的账号上 https://portswigger.net 登录并检查更新。
Failed to create Burp project:(.*)	创建Burp项目失败:$1
Failed to decrypt stored passwords. Enter the master password that was used to encrypt stored passwords.	无法解密保存的密码。输入用于加密密码存储的主密码。
Failed to delete Burp executable.	删除Burp执行程序失败。
Failed to delete directory: (.*)	删除目录失败: $1
Failed to download BApp file	下载BApp文件失败
Failed to import certificate: (.*)	导入证书失败: $1
Failed to load certificate: (.*)	加载证书失败: $1
Failed to load certificate: keystore password was incorrect	加载证书失败: 密钥存储密码错误
Failed to open file	无法打开文件
Failed to open folder	无法打开文件夹
Failed to retrieve response	无法获取响应
Failed to save file. Please try another location.	无法保存文件。请尝试其他地方。
Failed to save project.	无法保存项目
Failed to start proxy service on ([0-9.:]+)\.	$1无法启动代理服务。
Failed to update BApp list	无法更新BApp列表
Failed to validate target's certificate.	未能验证目标的证书。
Failed to verify BApp file	无法验证BApp文件
Failed to verify integrity of download.	无法确认下载的完整性。
False positive	假阳性
Fast	高速
Faster	快
Fastest	最快
February	2月
Feedback only contains technical information about Burp's internal functioning, and does not identify you in any way. If you do report a bug via email, you can help us diagnose any problems that your instance of Burp has encountered by including your debug ID.	反馈中只包含有关Burp内部功能的技术信息，没有办法确定您。如果您通过电子邮件报告错误，包括您的调试ID将帮助您诊断出现的问题。
Fetch previously undiscovered resources and data from out-of-scope hosts	从范围外的主机获取以前未发现的资源和数据
Fetch required resources and data from out-of-scope hosts	从范围外的主机获取所需的资源和数据
Fetch response	获取响应
Field name	字段名称
Field name cannot be blank	字段名称不能为空
Field name:	字段名称:
Field value	字段值
Field value:	字段值:
File	文件
File (PKCS#12)	文件(PKCS#12)
File already exists in the specified folder.	指定的文件夹中已经存在文件。
File cannot be read or does not contain valid JSON	无法读取文件或找不到有效的JSON
File details:	文件详细:
File does not exist	文件不存在
File extension	文件扩展名
File Extension	文件扩展名
File extensions	文件扩展名
File Extensions	文件扩展名
File for recovered project	恢复后的项目文件
File Name:	文件名:
File path manipulation(\s+\[[0-9]+\])?	文件路径操作$1
File path traversal / manipulation	文件路径遍历/操作
File path traversal(\s+\[[0-9]+\])?	文件路径遍历$1
File required	文件依赖
File retrieval	文件获取
File size: ([0-9,]+) bytes?	文件大小: $1 字节
File upload functionality(\s+\[[0-9]+\])?	文件上传功能$1
File was downloaded successfully.	已成功下载文件。
File was saved successfully.	已成功保存文件。
File:	文件:
Filenames	文件名
Filenames - long	文件名 - 长
Filenames - short	文件名 - 短
Files and directories	文件和目录
Files of Type:	文件类型:
Files only	仅限文件
Filter	过滤器
Filter by annotation	标注
Filter by extension	扩展过滤
Filter by file extension	文件扩展名
Filter by listener	监听端口
Filter by MIME type	MIME类型
Filter by request type	请求类型
Filter by search term	搜索词
Filter by search term [Pro only]	搜索词 [仅限专业版]
Filter by status code	状态代码
Filter by tool	工具
Filter Settings	过滤器设置
Filter settings	过滤器设置
Filter:	过滤器:
Filter: 	过滤器: 
Filter: Please wait ...  	过滤器: 请等一下 ...  
Find answers	寻找答案
Find comments	搜索注释
Find out more	了解详情
Find references	查找参考源
Find scripts	搜索脚本
Find the answers to your Burp Suite questions here.	找到Burp Suite问题的答案。
Finish	完成
Finished	已完成
Finished.	完成.
FIPS long run	FIPS 最长连续测试
FIPS Long Run Test - Significance Levels	FIPS最长连续测试 - 显着性水平
FIPS long runs test	FIPS 最长连续测试
FIPS monobit	FIPS 一维度数检定
FIPS monobit test	FIPS 一维度数检定
FIPS Monobit Test - Significance Levels	FIPS 一维度数检定 - 显着性水平
FIPS poker	FIPS 扑克测试
FIPS poker test	FIPS 扑克测试
FIPS Poker Test - Significance Levels	FIPS 扑克测试 - 显着性水平
FIPS Result	FIPS结果
FIPS runs	FIPS 连续测试
FIPS runs test	FIPS 连续测试
FIPS Runs Test - Significance Levels	FIPS 连续测试 - 显着性水平
Firm	待定
Fixed	固定
Flag result items with responses matching these expressions:	将标记设置为与这些字符串匹配的响应:
Flash cross-domain policy(\s+\[[0-9]+\])?	Flash跨域策略$1
Folder for loading library JAR files (optional):	加载库中JAR文件的文件夹(可选):
Folder for loading modules (optional):	加载模块的文件夹(可选):
Folder name:	文件夹名称:
Folders	文件夹
Follow hidden links in comments and JavaScript	跟随注释和JavaScript中隐藏的链接
Follow redirection	跟随重定向
Follow redirection:	跟随重定向:
Follow redirections	跟随重定向
Follow redirections where necessary	在需要的地方跟随重定向
Follow redirections:	跟随重定向:
Follow redirects	跟随重定向
Follow the redirection in the current response	跟随当前响应的重定向
Follow us	关注我们
follow-up passes to retry failed operations	重试失败操作的后续过程
follow-up passes to retry requests that timed out	重试超时请求的后续过程
Font	字体
Font size:	字体大小:
Font:	字体:
For this directory	此目录
For this file extension	此文件扩展名
Force use of SSL	强制使用SSL
Force use of TLS	强制使用TLS
Form action hijacking \(reflected\)(\s+\[[0-9]+\])?	表单操作劫持(反射型)$1
Form action hijacking \(stored\)(\s+\[[0-9]+\])?	表单操作劫持(存储型)$1
Form destination optimization threshold:	形成目标优化阈值:
Form field names	表单字段名
Form field names - long	表单字段名 - 长
Form field names - short	表单字段名 - 短
Form field values	表单字段值
Form field:	表单字段:
Form Submission	提交表单
Form submission	表单提交
Form submission optimization threshold:	表单提交优化阈值:
Form submissions	提交表单
Format of original data:	原始数据的格式:
Format strings	格式化字符串
Format:	格式化:
Forms	表单
Forms queued:	排队的表单:
Forward	转发
Frameable response \(potential Clickjacking\)(\s+\[[0-9]+\])?	框架响应(潜在的点击劫持)$1
Frameable responses \("Clickjacking"\)(\s+\[[0-9]+\])?	框架响应("点击劫持")$1
Frequently Occurring Insertion Points	常见插入点
from the Dashboard until you close Burp Suite.	在关闭Burp Suite之前，可以通过Dashboard访问。
from the dashboard.	从仪表板。
From this host	从该主机
From this IP address	从该IP地址
From:	从:
Function	功能
Function fingerprint threshold:	功能指纹阈值:
Functions	功能
Fuzzing - full	模糊测试 - 全部
Fuzzing - JSON_XML injection	模糊测试 - JSON_XML注入
Fuzzing - out-of-band	模糊测试 - 帯域外
Fuzzing - path traversal	模糊测试 - 路径遍历
Fuzzing - path traversal (single file)	模糊测试 - 路径遍历(单个文件)
Fuzzing - quick	模糊测试 - 快速
Fuzzing - SQL injection	模糊测试 - SQL注入
Fuzzing - template injection	模糊测试 - 模板注入
Fuzzing - XSS	模糊测试 - XSS
Gain fast feedback on a site's security - for when speed is a priority. Lightweight mode will complete within 15 minutes.	获得对网站安全的快速反馈--当速度是一个优先事项时。轻量级模式将在15分钟内完成。
Generate	
Generate a CA-signed certificate with a specific hostname:	生成CA签名的指定主机名的证书:
Generate CA-signed per-host certificates	生成CA签名的每个主机的证书
Generate Collaborator payloads	Collaborator的有效载荷生成
Generate CSRF PoC	CSRF PoC生成
Generating report: ([0-9]+)% complete	正在生成报表: $1%完成
Get going right away - with our quick start tutorial.	快速入门教程，让我们立即开始。
Get started	开始使用
Get started	开始工作
Getting started	入门
Getting Started	入门
Getting started with Burp Suite	Burp Suite入门
Getting Started With Burp Suite	Burp Suite入门
Go	发送
Go back	返回
Go forward	前进
Go to the next item in the history	转到历史记录中的下一个项目
Go to the previous item in the history	转到历史记录中的上一个项目
Go Up	向上
Grep - Extract	Grep - 提取
